protein_group,sequence_count
sp|P18621|RL17_HUMAN,2
sp|P18669|PGAM1_HUMAN,1
sp|P18669|PGAM1_HUMAN;sp|Q8N0Y7|PGAM4_HUMAN,1
sp|P18754|RCC1_HUMAN,1
sp|P19338|NUCL_HUMAN,8
sp|P19823|ITIH2_HUMAN,3
sp|P20042|IF2B_HUMAN,2
sp|P20290|BTF3_HUMAN,1
sp|P20339|RAB5A_HUMAN;sp|P51148|RAB5C_HUMAN;sp|P61020|RAB5B_HUMAN,1
sp|P20618|PSB1_HUMAN,3
sp|P20700|LMNB1_HUMAN,3
sp|P21333|FLNA_HUMAN,22
sp|P21333|FLNA_HUMAN;sp|Q14315|FLNC_HUMAN,1
sp|P21796|VDAC1_HUMAN,2
sp|P22087|FBRL_HUMAN,1
sp|P22090|RS4Y1_HUMAN;sp|P62701|RS4X_HUMAN,2
sp|P22090|RS4Y1_HUMAN;sp|P62701|RS4X_HUMAN;sp|Q8TD47|RS4Y2_HUMAN,1
sp|P22102|PUR2_HUMAN,1
sp|P22234|PUR6_HUMAN,1
sp|P22307|SCP2_HUMAN,1
sp|P22314|UBA1_HUMAN,9
sp|P22626|ROA2_HUMAN,6
sp|P23246|SFPQ_HUMAN,2
sp|P23284|PPIB_HUMAN,2
sp|P23396|RS3_HUMAN,9
sp|P23526|SAHH_HUMAN,2
sp|P23528|COF1_HUMAN,4
sp|P23528|COF1_HUMAN;sp|Q9Y281|COF2_HUMAN,1
sp|P23588|IF4B_HUMAN,1
sp|P25205|MCM3_HUMAN,1
sp|P25398|RS12_HUMAN,2
sp|P25685|DNJB1_HUMAN,1
sp|P25705|ATPA_HUMAN,7
sp|P25786|PSA1_HUMAN,1
sp|P25788|PSA3_HUMAN,1
sp|P25789|PSA4_HUMAN,2
sp|P26038|MOES_HUMAN,2
sp|P26373|RL13_HUMAN,2
sp|P26447|S10A4_HUMAN,2
sp|P26599|PTBP1_HUMAN,5
sp|P26639|SYTC_HUMAN,2
sp|P26641|EF1G_HUMAN,5
sp|P27348|1433T_HUMAN,1
sp|P27348|1433T_HUMAN;sp|P31946|1433B_HUMAN;sp|P31947|1433S_HUMAN;sp|P61981|1433G_HUMAN;sp|P62258|1433E_HUMAN;sp|P63104|1433Z_HUMAN;sp|Q04917|1433F_HUMAN,2
sp|P27635|RL10_HUMAN,2
sp|P27797|CALR_HUMAN,3
sp|P27824|CALX_HUMAN,3
sp|P28066|PSA5_HUMAN,2
sp|P28074|PSB5_HUMAN,2
sp|P29401|TKT_HUMAN,6
sp|P29692|EF1D_HUMAN,5
sp|P30040|ERP29_HUMAN,2
sp|P30041|PRDX6_HUMAN,4
sp|P30043|BLVRB_HUMAN,1
sp|P30044|PRDX5_HUMAN,5
sp|P30048|PRDX3_HUMAN,1
sp|P30050|RL12_HUMAN,4
sp|P30086|PEBP1_HUMAN,2
sp|P30101|PDIA3_HUMAN,4
sp|P30153|2AAA_HUMAN,1
sp|P30740|ILEU_HUMAN,1
sp|P31150|GDIA_HUMAN;sp|P50395|GDIB_HUMAN,1
sp|P31153|METK2_HUMAN,3
sp|P31327|CPSM_HUMAN,19
sp|P31942|HNRH3_HUMAN,1
sp|P31943|HNRH1_HUMAN,1
sp|P31943|HNRH1_HUMAN;sp|P52597|HNRPF_HUMAN,1
sp|P31943|HNRH1_HUMAN;sp|P52597|HNRPF_HUMAN;sp|P55795|HNRH2_HUMAN,1
sp|P31943|HNRH1_HUMAN;sp|P55795|HNRH2_HUMAN,2
sp|P31946|1433B_HUMAN,1
sp|P31947|1433S_HUMAN,1
sp|P32119|PRDX2_HUMAN,2
sp|P32119|PRDX2_HUMAN;sp|Q06830|PRDX1_HUMAN,1
sp|P32969|RL9_HUMAN,3
sp|P33316|DUT_HUMAN,1
sp|P33991|MCM4_HUMAN,2
sp|P34897|GLYM_HUMAN,2
sp|P34932|HSP74_HUMAN,2
sp|P35232|PHB1_HUMAN,3
sp|P35237|SPB6_HUMAN,2
sp|P35268|RL22_HUMAN,1
sp|P35579|MYH9_HUMAN,5
sp|P35613|BASI_HUMAN,2
sp|P35637|FUS_HUMAN,1
sp|P35998|PRS7_HUMAN,1
sp|P36542|ATPG_HUMAN,3
sp|P36578|RL4_HUMAN,5
sp|P36871|PGM1_HUMAN,1
sp|P36873|PP1G_HUMAN;sp|P62136|PP1A_HUMAN;sp|P62140|PP1B_HUMAN,1
sp|P36952|SPB5_HUMAN,6
sp|P36955|PEDF_HUMAN,2
sp|P37802|TAGL2_HUMAN,2
sp|P38117|ETFB_HUMAN,2
sp|P38159|RBMX_HUMAN;sp|Q96E39|RMXL1_HUMAN,1
sp|P38646|GRP75_HUMAN,9
sp|P38919|IF4A3_HUMAN,2
sp|P39023|RL3_HUMAN,3
sp|P39687|AN32A_HUMAN,1
sp|P39687|AN32A_HUMAN;sp|Q92688|AN32B_HUMAN,1
sp|P39748|FEN1_HUMAN,2
sp|P40227|TCPZ_HUMAN,2
sp|P40925|MDHC_HUMAN,1
sp|P40926|MDHM_HUMAN,5
sp|P40939|ECHA_HUMAN,1
sp|P41091|IF2G_HUMAN,1
sp|P41091|IF2G_HUMAN;sp|Q2VIR3|IF2GL_HUMAN,4
sp|P41252|SYIC_HUMAN,3
sp|P42166|LAP2A_HUMAN;sp|P42167|LAP2B_HUMAN,2
sp|P42167|LAP2B_HUMAN,1
